image_path,objects,repeating_pattern,image_url,main_color_name,main_color_rgb,other_colors_names
../holden_scrape/wallpapers/full/388c3184c589fa14cc397840596c124d60263fa1.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66160-Tinos-Taupe-Thumbnail-180x180.jpg,dark gray,"[180, 169, 151]","rosy brown,gray,silver,dark gray"
../holden_scrape/wallpapers/full/a4a718fd1633e7e997d2c4562f37327c55b6db71.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66190-Valora-Dove-Roomshot-180x180.jpg,silver,"[206, 193, 179]","dark olive green,dim gray,gray,dark slate gray,silver,black,dark gray,rosy brown,light grey"
../holden_scrape/wallpapers/full/67429c0c8d2581ef8e75340c94d0fb35b2d95e09.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66163-Tinos-Charcoal-Rollshot-Closeup-600x600.jpg,dim gray,"[109, 99, 86]","dim gray,dark olive green,gray,dark slate gray,silver,dark gray,rosy brown"
../holden_scrape/wallpapers/full/b3db2d3b0385926aacc1a8a196a1741bdbc4682a.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/RM91742-Cassia-Aqua-roomshot-180x180.jpg,dark slate gray,"[69, 84, 79]","dim gray,dark olive green,gray,dark slate gray,beige,silver,black,dark gray,light grey"
../holden_scrape/wallpapers/full/61b93f71871869b855f992e6634cbd6029d67de0.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/TH91741-Cassia-Charcoal-180x180.jpg,dark slate gray,"[63, 60, 57]","dark olive green,dim gray,gray,dark slate gray,silver,black,dark gray"
../holden_scrape/wallpapers/full/890e4585701668460913b0176bba1b11f28da44e.jpg,"bowl,couch,cup",False,https://holdendecor.co.uk/wp-content/uploads/66162-Tinos-Dove-Roomshot.jpg,light grey,"[222, 215, 204]","dark olive green,dim gray,saddle brown,gray,dark slate gray,silver,black,dark gray,gainsboro,light grey"
../holden_scrape/wallpapers/full/cba5c9ab419c6715cb00e81e88ea82d1da598da4.jpg,"chair,bench",False,https://holdendecor.co.uk/wp-content/uploads/RM91745-Cassia-Green-roomshot-180x180.jpg,dark olive green,"[82, 85, 57]","dark olive green,dim gray,gray,dark slate gray,silver,linen,dark gray,black,rosy brown,gainsboro"
../holden_scrape/wallpapers/full/1d6c4ef6bccaa4227665afdaf6801c221de1913f.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66192-Valora-Beige-Rollshot-Closeup.jpg,tan,"[207, 190, 160]","tan,dim gray,gray,silver,rosy brown,wheat"
../holden_scrape/wallpapers/full/592b7a92723c704c6e9f32e0cd88e3e62363f28d.jpg,"vase,bed,potted plant,surfboard",False,https://holdendecor.co.uk/wp-content/uploads/91542_Zodiac_Blue_green_roomshot.jpg,light grey,"[219, 208, 199]","dim gray,tan,saddle brown,snow,gray,dark slate gray,sienna,silver,linen,dark sea green,dark gray,gainsboro,peru"
../holden_scrape/wallpapers/full/c150cd0233862d96e6662e3b63e1cae6787d769d.jpg,umbrella,False,https://holdendecor.co.uk/wp-content/uploads/66163-Tinos-Charcoal-Rollshot.jpg,dim gray,"[105, 96, 82]","dim gray,dark olive green,tan,gray,dark slate gray,rosy brown"
../holden_scrape/wallpapers/full/0c0f34bf662bfe1317d4f57d4fc728701d653665.jpg,"vase,giraffe",False,https://holdendecor.co.uk/wp-content/uploads/JTTE-Cover.jpg,tan,"[202, 182, 154]","dim gray,dark olive green,gray,dark slate gray,sienna,indian red,silver,dark gray,rosy brown,gainsboro,peru"
../holden_scrape/wallpapers/full/1e61497e39f19a613c2d72623008bd026b2b3da4.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66161-Tinos-Grey-Rollshot-Closeup-600x600.jpg,silver,"[195, 185, 172]","dim gray,antique white,gray,silver,dark gray,rosy brown,light grey"
../holden_scrape/wallpapers/full/ca2f8697dc88b9d6d06b438e9d8ba1e6d89e2c99.jpg,vase,False,https://holdendecor.co.uk/wp-content/uploads/13392-vintage-floral-cream-ochre-rollshot-600x600.jpg,gainsboro,"[231, 229, 220]","wheat,tan,dim gray,dark olive green,gray,silver,linen,dark gray,dark sea green,gainsboro,light grey"
../holden_scrape/wallpapers/full/91ce1449698f1d2a4c8205b8eb823e1e4512d613.jpg,bed,False,https://holdendecor.co.uk/wp-content/uploads/36014-Varano-Cream-Product-room-600x600.jpg,gainsboro,"[232, 220, 205]","tan,dim gray,dark olive green,gray,white smoke,silver,dark gray,rosy brown,gainsboro,light grey"
../holden_scrape/wallpapers/full/b7054346871b602ef57eed566b12e3dacdff5790.jpg,bed,False,https://holdendecor.co.uk/wp-content/uploads/90941-Under-the-sea-light-tea-Roomshot-600x600.jpg,alice blue,"[230, 244, 246]","dim gray,steel blue,cadet blue,gray,dark slate gray,indian red,silver,light steel blue,dark gray,gainsboro,light grey"
../holden_scrape/wallpapers/full/07a677f820e3366100d8a60a3d1ea8f770e602e6.jpg,"bed,potted plant",False,https://holdendecor.co.uk/wp-content/uploads/75960-Obsidian-Pink-Rose-Gold-Roomshot.jpg,dark gray,"[179, 164, 163]","dark olive green,dim gray,gray,dark slate gray,sienna,light slate gray,silver,black,dark gray,peru,slate gray"
../holden_scrape/wallpapers/full/ba051222e70e309fc600879cd7c324cde3976a62.jpg,,True,https://holdendecor.co.uk/wp-content/uploads/75981-Twill-Weave-Grey-180x180.jpg,light grey,"[208, 206, 198]","gainsboro,silver,light grey,dark gray"
../holden_scrape/wallpapers/full/d2cc46e80c6cdd2d969902738998436bb50c11a0.jpg,"vase,chair,potted plant,suitcase",False,https://holdendecor.co.uk/wp-content/uploads/65912-Tora-Burnt-Orange-roomshot-600x600.jpg,dark olive green,"[116, 86, 59]","saddle brown,dark olive green,dim gray,gray,sienna,silver,black,dark gray,rosy brown,gainsboro"
../holden_scrape/wallpapers/full/c7585df4426923509bd8c45bebb47a5ab87efb57.jpg,,True,https://holdendecor.co.uk/wp-content/uploads/66190-Valora-Dove-Rollshot-Closeup.jpg,silver,"[213, 201, 187]","antique white,gray,silver,dark gray,rosy brown,gainsboro,light grey,old lace"
../holden_scrape/wallpapers/full/31421bce10725dad13584258e7190f1516aecb97.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66190-Valora-Dove-Thumbnail-180x180.jpg,light grey,"[218, 209, 193]","antique white,silver,dark gray,gainsboro,light grey"
../holden_scrape/wallpapers/full/f06fa70d58a92fad1cd2e68feca7b6661b4f3e2a.jpg,"vase,bed,potted plant",False,https://holdendecor.co.uk/wp-content/uploads/91541_Zodiac_Burnt_Orange_roomshot-600x600.jpg,snow,"[253, 252, 251]","dim gray,dark olive green,gray,dark slate gray,silver,linen,dark gray,rosy brown,gainsboro,light grey"
../holden_scrape/wallpapers/full/93945070bf681f25c906051ff9c9acf5a1f0b965.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66191-Valora-Cream-Thumbnail.jpg,tan,"[203, 192, 165]","tan,silver,dark gray,rosy brown,light grey"
../holden_scrape/wallpapers/full/4b97dd330c11e165468a673d4fc067f8b9610d2e.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/99503-Tipu-Bead-Emerald-Green-Roll-3_2-180x180.jpg,gainsboro,"[230, 222, 202]","dim gray,antique white,gray,beige,silver,dark gray,rosy brown,light grey"
../holden_scrape/wallpapers/full/94de0a78892d73760f2b559c5f1b8662787a89ad.jpg,"vase,bed,potted plant,cup",False,https://holdendecor.co.uk/wp-content/uploads/66160-Tinos-Taupe-Roomshot-600x600.jpg,rosy brown,"[182, 168, 146]","tan,dim gray,dark olive green,gray,dark slate gray,sienna,silver,black,rosy brown,gainsboro,peru"
../holden_scrape/wallpapers/full/dbd791cf4064c2589fe3241ee30bc89c164a0c22.jpg,"vase,chair,potted plant,bowl",False,https://holdendecor.co.uk/wp-content/uploads/65912-Tora-Burnt-Orange-roomshot.jpg,sienna,"[138, 98, 66]","dark olive green,saddle brown,dim gray,tan,gray,silver,black,rosy brown,gainsboro"
../holden_scrape/wallpapers/full/2c0cbe8d6381a6673403d827827eb6ddd631f518.jpg,"vase,chair,potted plant,dining table",False,https://holdendecor.co.uk/wp-content/uploads/RM99427-Botanicus-Cream-Room-600x600.jpg,rosy brown,"[159, 147, 139]","dim gray,dark olive green,saddle brown,gray,dark slate gray,sienna,indian red,silver,dark gray,rosy brown,light grey"
../holden_scrape/wallpapers/full/06bae2cc941803f1228e4fee327039b862d8af47.jpg,broccoli,False,https://holdendecor.co.uk/wp-content/uploads/91542_Zodiac_Blue_green-180x180.jpg,dark gray,"[165, 168, 142]","dark olive green,dim gray,gray,dark slate gray,silver,dark sea green,dark gray,gainsboro,light grey"
../holden_scrape/wallpapers/full/792e7e01ff5ca72436c8f7a412b0185bb1d657f0.jpg,"vase,bed,potted plant",False,https://holdendecor.co.uk/wp-content/uploads/91541_Zodiac_Burnt_Orange_roomshot.jpg,light grey,"[218, 207, 198]","dim gray,dark olive green,saddle brown,snow,gray,dark slate gray,sienna,silver,dark gray,rosy brown,gainsboro"
../holden_scrape/wallpapers/full/23b26d5fc8839b6161522de8c08ab65f7d3075b6.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/91412-Elba-sage-600x600.jpg,dark sea green,"[144, 158, 144]","gray,dim gray,dark sea green,light slate gray"
../holden_scrape/wallpapers/full/206fdfc90ad1ebf980e68e0083fb7efc0e7f3fca.jpg,"vase,chair,potted plant",False,https://holdendecor.co.uk/wp-content/uploads/65911-Tora-Khaki-roomshot--180x180.jpg,dark olive green,"[93, 83, 65]","dim gray,dark olive green,gray,dark slate gray,silver,black,rosy brown,gainsboro"
../holden_scrape/wallpapers/full/39182f04e2113b080c86aba1f1533aa5f70712a7.jpg,surfboard,True,https://holdendecor.co.uk/wp-content/uploads/99363-Enigma-Beads-Grey-Rollshot.jpg,dark gray,"[164, 167, 168]","dim gray,gray,dark slate gray,white smoke,light slate gray,silver,black,dark gray,gainsboro,light grey"
../holden_scrape/wallpapers/full/467d367924e728b87c95224da1df427fee674343.jpg,"bed,potted plant,bowl",False,https://holdendecor.co.uk/wp-content/uploads/91542_Zodiac_Blue_green_roomshot-180x180.jpg,snow,"[250, 249, 247]","dim gray,dark olive green,tan,gray,dark slate gray,sienna,silver,linen,dark gray,gainsboro,peru,light grey"
../holden_scrape/wallpapers/full/3e9f571803f63f9782ac9e22444931e68b96511d.jpg,,True,https://holdendecor.co.uk/wp-content/uploads/99502-TIPU-Tree-Bead-terracotta-image-.jpg,silver,"[212, 199, 185]","tan,gray,silver,rosy brown,light grey"
../holden_scrape/wallpapers/full/a97a4baef10c05eb44d0f45167dc4ed47c52148e.jpg,frisbee,False,https://holdendecor.co.uk/wp-content/uploads/65832-Tipaza-grey-roll-180x180.jpg,silver,"[194, 191, 189]","dim gray,gray,dark slate gray,silver,dark gray,gainsboro,light grey"
../holden_scrape/wallpapers/full/4daf6e47902d417f515d4b6e63852e79691d43c1.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/65912-Tora-Burnt-Orange-zoom-600x600.jpg,dark slate gray,"[55, 59, 63]","tan,dim gray,gray,dark slate gray,sienna,dark khaki,silver,black,rosy brown,gainsboro,peru,light grey"
../holden_scrape/wallpapers/full/6156c523bcec5f6b1803bb12de753f1b10f721a2.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66160-Tinos-Taupe-Rollshot-180x180.jpg,rosy brown,"[172, 158, 135]","tan,dim gray,gray,silver,dark gray,rosy brown,wheat"
../holden_scrape/wallpapers/full/f26770ac5838eaba78eddf97ab8623ac4974e871.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/65913-Tora-Maroon-rollshot-180x180.jpg,dim gray,"[106, 73, 72]","dark olive green,dim gray,gray,dark slate gray,silver,black,dark gray,rosy brown,gainsboro"
../holden_scrape/wallpapers/full/dbbdc3d4b43cdfc5e6025d0610f7bcc174f223f9.jpg,zebra,False,https://holdendecor.co.uk/wp-content/uploads/65910-Tora-Taupe-zoom-180x180.jpg,dark slate gray,"[55, 52, 46]","tan,dark olive green,dim gray,gray,dark slate gray,sienna,silver,black,dark gray,rosy brown,gainsboro,peru"
../holden_scrape/wallpapers/full/b50d9e25c7f760c33edf6a4f3470fca7803780c9.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/75963-Obsidian-Grey-Silver-shiny-Product-180x180.jpg,silver,"[186, 185, 188]","lavender,light slate gray,silver,dark gray,gainsboro,light grey"
../holden_scrape/wallpapers/full/abdf8e4eac3359acec35fd24949fc4c39eefdd2d.jpg,vase,False,https://holdendecor.co.uk/wp-content/uploads/99503-Tipu-Emerald-Green-Roomshot-600x600.jpg,light grey,"[218, 205, 187]","tan,dark olive green,dim gray,gray,beige,sienna,silver,black,dark gray,rosy brown,gainsboro"
../holden_scrape/wallpapers/full/b5e8c5bc739785f4d62326fcc46a17a8a54fc908.jpg,bird,False,https://holdendecor.co.uk/wp-content/uploads/TH91742-Cassia-Aqua.jpg,dark slate gray,"[63, 83, 83]","dark olive green,dim gray,gray,dark slate gray,black,dark gray,rosy brown,light grey"
../holden_scrape/wallpapers/full/f982f65a5283cd67f454080705bd0476401fb714.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/66161-Tinos-Grey-Rollshot-180x180.jpg,dark gray,"[189, 179, 167]","dim gray,gray,silver,dark gray,rosy brown,light grey"
../holden_scrape/wallpapers/full/1c2cffd472eab90d7990d687f658915722fdf4cb.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/75963-Obsidian-Grey-Silver-shiny-Product.jpg,silver,"[190, 189, 190]","lavender,gray,white smoke,silver,dark gray,gainsboro,light grey"
../holden_scrape/wallpapers/full/24c71a807ad2905718d4817f958ece11ef8eb794.jpg,"potted plant,couch",False,https://holdendecor.co.uk/wp-content/uploads/91412-Elba-sage-room-600x600.jpg,gray,"[136, 144, 131]","dim gray,tan,dark olive green,gray,dark slate gray,white smoke,sienna,peru,wheat"
../holden_scrape/wallpapers/full/ea482de00bfff56d3b427ff426336a778bd45654.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/75963-Obsidian-Grey-Silver-shiny-Product-600x600.jpg,silver,"[190, 189, 190]","gray,white smoke,silver,dark gray,gainsboro,light grey"
../holden_scrape/wallpapers/full/60b8c74fa86335144b5b0e5dbe0884c7231f193b.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/75960-Obsidian-Pink-Rose-Gold-shiny-Product-180x180.jpg,light grey,"[226, 211, 208]","gainsboro,silver,light grey,antique white"
../holden_scrape/wallpapers/full/658e0d218e1b90db05ac00d903ef08e59b74804c.jpg,bird,False,https://holdendecor.co.uk/wp-content/uploads/65913-Tora-Maroon-zoom-600x600.jpg,dark olive green,"[99, 56, 62]","tan,dim gray,gray,dark slate gray,sienna,silver,dark gray,rosy brown,peru,light grey"
../holden_scrape/wallpapers/full/2cbce623a26b8ce881afdf6edfc15603a1d89c1f.jpg,vase,False,https://holdendecor.co.uk/wp-content/uploads/99500-Tipu-Taupe-Roomshot-180x180.jpg,tan,"[201, 187, 166]","tan,dark olive green,antique white,gray,sienna,silver,black,rosy brown,light grey"
../holden_scrape/wallpapers/full/9acc27cbb66485fe9431e5fa8379beda5545a6bf.jpg,vase,False,https://holdendecor.co.uk/wp-content/uploads/36190-Tranquilo-Taupe-Grey-Room-600x600.jpg,dark gray,"[184, 174, 157]","dim gray,gray,dark slate gray,silver,dark gray,rosy brown,gainsboro"
../holden_scrape/wallpapers/full/5c0e7f611021569c946315568d6b3163357304a1.jpg,"vase,chair",False,https://holdendecor.co.uk/wp-content/uploads/66192-Valora-Beige-Closeup-Roomshot-180x180.jpg,tan,"[195, 173, 138]","tan,saddle brown,dark olive green,dim gray,gray,maroon,black,rosy brown,wheat"
../holden_scrape/wallpapers/full/b3076421590030cfb02844027deb74a79fb0c023.jpg,,False,https://holdendecor.co.uk/wp-content/uploads/75981-Twill-Weave-Grey-Rollshot.jpg,gray,"[149, 151, 139]","dim gray,gray,dark slate gray,silver,dark gray,light grey"
../holden_scrape/wallpapers/full/dd3f65cbb1f4823e5dd3958ce96b8ff9a1814e7a.jpg,bed,False,https://holdendecor.co.uk/wp-content/uploads/65831-Tipaza-plum-roll.jpg,gray,"[149, 139, 125]","dim gray,dark olive green,gray,dark slate gray,silver,black,dark gray,rosy brown"
